Table No.18 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING MARCH, 2015",,,,,,,,
99,MEDREICH LIFE CARE LTD,Thailand,THAI MEIJI PHARMACEUTICAL CO LTD,REGION NOT INDICATED,MARKETING,0.08,0.00,
100,PHOENIX INNOVATIVE MEDICAL MANUFACTURER,U.S.A,PHOENIX HEALTHCARE SOLUTIONS LLC,REGION NOT INDICATED,MFG AND TR,0.10,0.00,
101,FIL CAPITAL ADVISORS TRUSTEE COMPANY PVT,Mauritius,FIL INDIA HOLDINGS (MAURITIUS) LTD,REGION NOT INDICATED,TO CARRY O,0.13,0.00,
102,CHEER PIZZA INDIA PVT LTD,Germany,MR HANS-JURGEN HERRRMANN,REGION NOT INDICATED,RETAIL SAL,0.03,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
103,AEGIS LOGISTICS LTD,Mauritius,TRANS ASIS PETROLEUM INC,REGION NOT INDICATED,PROVIDING,0.01,0.00,
104,IPLACE INDIA LTD,U.S.A,IPLACE USA INC,REGION NOT INDICATED,OTHER INFO,5.85,0.09,
105,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,"REGION
NOT INDICATED",MANUFACTUR,7.64,0.12,
106,INDIA PROPERTY ONLINE PVT TLD,Netherlands,BERTELSMANN NEDERLAND BV,REGION NOT INDICATED,OPERATIONS,3.28,0.05,
107,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,"REGION
NOT INDICATED",MANUFACTUR,2.67,0.04,
108,RELECURA TECHNOLOGIES PVT LTD,U.S.A,RELECURA INC,REGION NOT INDICATED,SOFTWARE D,0.05,0.00,
109,PHOENIX INNOVATIVE MEDICAL MANUFACTURER,U.S.A,JUAN CARLOS RODRIGUEZ,REGION NOT INDICATED,MFG AND TR,0.00,0.00,
110,CONTINENTAL BPO SERVICES PVT LTD,U.S.A,MR KHUSRO VICAR KHAN,REGION NOT INDICATED,MANPOWER P,0.03,0.00,
