Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
86,NEULAND HEALTH SCIENCES PVT LTD,Mauritius,ABG CAPITAL - MAURITIUS,"REGION NOT
INDICATED","Research and experimental development on natural sciences and
engineering",21.96,0.34,
87,Longman Renewables Private Limited,U.S.A,"QG Infra LLC,USA",REGION NOT INDICATED,Electric power generation using solar energy,0.05,0.00,
88,Tikona Infinet Private Limited,Mauritius,"Green Lotus Limited,Mauritius","REGION NOT
INDICATED",Activities of Internet access by the operator of the wireless infrastructure,0.86,0.01,
89,Vini Cosmetics Private Limited,Mauritius,"Sci Growth Investments Ii, Mauritius",REGION NOT INDICATED,"Manufacture of cosmetics and toileteries (includes manufacture of preshave, shaving or after shave preparations; personal deodorants and antirespirants; perfumed bath salts and other bath preparations; beauty or make-up preparations and preparations",447.24,6.87,
90,SQ ENTERPRISES PVT LTD,Mauritius,SHENGQUAN HK CO LTD - HONG KONG,"REGION
NOT INDICATED","Wholesale of industrial chemicals,",2.61,0.04,
91,ADANI PORTS AND SPECIAL ECONOMIC ZONE LT,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Cargo handling incidental to water transport,194.30,2.99,
92,ADANI POWER LTD,UAE,"EMERGING MARKET INVESTMENT DMCC -
UNITED","REGION NOT
INDICATED",Electric power generation by coal based thermal power plants,71.70,1.10,
93,M.R.L Posnet Private Ltd.,Singapore,Worldline IT and Payment Services (Singa,REGION NOT INDICATED,Activities auxiliary to financial service activities n.e.c.,49.42,0.76,
94,ETC OPHTHALMIC PRIVATE LIMITED,France,EYE TECH CARE SA,REGION NOT INDICATED,"Wholesale of scientific, medical and surgical machinery and equipment",0.10,0.00,
95,PERSTROP CHEMICALS INDIA PRIVATE LIMITED,Netherlands,PERSTROP SPECIALTY CHEMICALS HOLDING BV,REGION NOT INDICATED,Manufacture of organic and inorganic chemical compounds n.e.c.,23.15,0.36,
96,Weiss Rohling India Private Limited,Germany,Roehling Co Internationale Beteiligungs,REGION NOT INDICATED,Other business support service activities n.e.c.,0.75,0.01,
97,Gbu Solutions Private Limited,U.S.A,"Provizanto Inc,USA",REGION NOT INDICATED,Providing software support and maintenance to the clients,0.08,0.00,
98,M/S.Qps Bioserve India Pvt Ltd,Netherlands,"M/S. Xdd Acquisition B.V., Netherlands",REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,10.23,0.16,
99,"SOLUTIONS INFINI TECHNOLOGIES
(INDIA) PR",Italy,UBIQUITY SRL (ITALY),"REGION NOT
INDICATED",Other telecommunications activities,47.05,0.72,
100,Blue Penguin Technology Solutions Privat,Singapore,Taarav Pte Ltd,REGION NOT INDICATED,Providing software support and maintenance to the clients,45.43,0.70,
101,Manna Healthcare Pvt Ltd,U.S.A,Gurpreet Singh,"REGION
NOT INDICATED",Telephone based information services,0.62,0.01,
102,"FUEL CONDITIONERS
INDIA PRIVATE LIMITED",Singapore,"LOXROY LABUAN LIMITED, SINGAPORE","REGION
NOT INDICATED","Wholesale of solid, liquid and gaseous fuels and related products",0.12,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
103,"CARMAGIC SOFTWARE INDIA
PRIVATE LIMITED",U.S.A,"CAROOBI GmbH ULLSTEINSTRASSE 114-142,
GE","REGION NOT
INDICATED",Providing software support and maintenance to the clients,0.06,0.00,
